45839 45669 59963 121773 145166
set 41 49 151 95 369
propos 66 95 62 398 77
stake 8 0 0 631 52
secur 33 4 111 414 129
pay 36 17 25 97 516
analyst 100 58 95 260 178
three 69 69 77 145 324
six 32 24 114 93 411
tax 127 18 54 24 449
govern 144 135 202 149 40
avg 0 4 0 0 663
five 61 54 80 143 322
hold 36 12 74 428 102
cash 24 51 22 366 179
busi 14 22 44 328 231
prior 4 8 1 29 589
currenc 4 19 565 6 37
nation 93 59 235 157 84
purchas 27 78 70 398 50
could 92 115 143 197 74
told 96 75 136 186 117
foreign 111 31 298 92 76
merger 3 2 0 570 29
system 23 32 182 224 137
div 0 0 0 0 596
meet 103 62 145 175 110
approv 17 48 14 382 134
make 44 76 67 263 137
financi 18 13 81 267 206
japan 21 48 384 98 27
state 135 137 88 130 73
agre 48 24 109 352 28
manag 21 21 54 355 109
american 35 18 25 324 157
grain 0 548 0 4 2
firm 48 12 54 369 69
nine 8 19 16 59 447
complet 27 15 9 433 60
major 42 83 172 145 99
tender 2 89 47 390 7
ad 106 65 101 133 130
yen 8 1 437 16 70
reserv 156 33 220 43 75
continu 69 50 81 148 171
gener 47 45 34 220 163
mark 1 8 190 65 242
credit 23 65 69 89 259
estim 79 153 84 57 129
level 92 78 201 24 105
bid 21 54 32 376 17
made 43 73 60 211 105
rais 120 25 41 149 156
barrel 467 0 3 10 11
loan 43 56 33 139 217
take 45 45 120 198 79
rise 96 45 176 18 152
earlier 54 53 71 125 184
announc 38 42 43 261 102
asset 6 0 21 300 158
issu 35 45 83 189 132
term 26 24 64 293 73
corn 3 452 0 24 0
becaus 89 86 95 107 102
period 27 63 51 52 285
four 44 42 42 103 247
chang 64 72 137 69 136
close 64 24 95 209 84
import 147 192 85 22 24
time 59 67 106 150 87
countri 134 113 161 33 28
money 4 4 433 18 9
cost 58 76 21 50 263
capit 19 6 67 188 184
world 100 91 67 122 79
subsidiari 24 2 2 311 119
crude 429 2 0 4 23
ga 209 1 1 120 122
franc 9 27 142 66 209
qtli 0 0 0 0 447
dealer 3 20 363 48 8
feder 30 24 123 180 84
cut 70 61 172 45 93
ani 59 74 73 176 59
around 57 49 233 48 53
split 1 4 1 11 421
februari 114 59 113 52 100
statement 64 22 50 191 109
servic 25 20 22 223 144
central 13 13 348 35 25
depart 49 229 18 103 34
see 44 32 60 43 252
declin 74 34 107 94 120
control 12 17 46 308 38
lower 52 69 68 32 198
day 167 33 102 93 24
spokesman 70 42 49 206 50
valu 26 33 55 208 86
chairman 19 19 33 212 120
produc 142 131 15 70 40
futur 66 91 89 74 78
januari 70 42 97 42 146
incom 9 21 11 29 327
compar 39 53 71 29 205
exclud 7 7 4 15 360
sourc 69 119 107 87 10
rose 69 27 58 38 200
mth 0 0 0 0 391
financ 20 9 124 173 65
presid 93 26 49 138 84
outstand 2 2 9 289 84
revenu 63 7 1 94 218
develop 86 27 54 100 113
commiss 12 75 8 229 54
due 47 46 56 72 155
befor 51 22 86 91 126
receiv 15 56 13 216 71
fund 9 8 150 111 93
fall 55 66 148 8 93
payment 24 112 44 77 112
sinc 51 63 105 86 63
growth 23 16 131 28 170
recent 49 59 97 96 63
debt 32 2 80 98 145
reduc 37 73 63 61 121
opec 354 0 1 0 0
japanes 25 19 174 115 20
canada 58 52 62 99 82
polici 42 53 208 30 19
higher 62 48 36 38 168
use 55 77 54 110 55
accord 62 58 149 61 21
agricultur 7 330 1 6 6
remain 46 35 80 105 79
bill 9 103 211 18 4
annual 39 34 19 90 163
bpd 338 0 0 1 1
addit 30 48 25 129 108
program 27 222 11 41 38
jan 3 1 3 20 312
investor 13 2 46 247 31
econom 50 37 199 32 20
p 0 0 1 98 237
onli 59 72 77 81 47
energi 210 2 1 58 65
well 118 24 41 68 84
fiscal 17 20 37 23 236
associ 27 64 22 136 82
eight 20 19 33 52 206
st 2 11 1 29 285
west 49 24 145 68 41
talk 25 44 60 178 19
sold 13 46 29 187 51
part 32 44 30 167 53
transact 8 7 48 245 17
provid 23 39 72 148 41
minist 140 33 122 26 1
uk 17 38 177 53 33
charg 11 3 2 37 265
base 36 32 61 123 66
account 18 16 75 35 173
figur 41 81 43 9 141
effect 61 30 62 47 115
yesterday 49 34 97 104 30
hi 43 30 59 148 29
help 73 34 133 28 40
comment 12 34 91 143 28
canadian 49 61 27 107 63
plc 10 0 0 183 113
amount 23 41 64 94 84
pretax 0 1 0 39 260
right 26 6 13 193 61
takeov 4 0 0 267 26
seven 12 35 18 40 191
need 65 59 95 52 25
improv 28 32 34 33 169
union 30 124 25 87 27
seek 12 16 17 219 29
decemb 64 26 25 56 122
like 43 55 87 58 48
forecast 29 55 109 8 90
bought 7 33 78 156 17
possibl 32 40 39 133 46
petroleum 177 0 1 55 56
next 46 62 70 52 59
plant 24 141 0 66 56
area 55 142 4 41 45
deal 21 15 22 208 19
ask 48 49 78 78 32
dure 47 66 47 39 84
soviet 18 257 2 5 0
quarterli 0 1 3 3 275
previous 13 13 7 145 100
crop 0 278 0 0 0
howev 30 61 47 69 70
director 12 19 18 175 53
earli 43 37 96 37 62
fell 72 26 62 14 97
usair 0 0 0 269 1
payabl 0 0 1 17 252
domest 79 32 86 15 58
suppli 93 62 65 35 14
file 1 7 0 219 42
move 42 29 84 81 32
hous 46 62 94 42 24
requir 16 38 55 98 60
call 49 30 83 85 20
still 35 50 72 68 39
extraordinari 2 0 0 10 252
half 31 18 31 28 155
condit 23 25 34 154 27
usda 1 261 0 0 0
june 24 45 30 34 129
pari 2 10 237 10 2
prefer 4 6 8 129 112
show 38 48 70 18 84
full 5 11 22 33 186
public 13 17 29 98 99
consid 21 38 44 134 19
save 7 33 4 141 69
averag 72 48 62 31 40
offic 9 32 9 135 67
feb 7 12 4 32 197
subject 4 7 11 186 43
high 38 44 73 54 41
resourc 37 4 3 114 90
gulf 115 61 24 11 36
contract 72 60 52 32 31
name 13 3 5 99 125
reflect 19 16 39 17 153
second 39 11 18 44 131
anoth 11 35 48 110 39
sever 43 36 37 86 39
member 83 45 31 73 9
distribut 6 8 1 61 165
support 42 60 76 47 14
reuter 46 51 28 81 33
discontinu 1 0 0 9 229
trust 7 0 33 79 119
saudi 177 9 35 0 17
allow 58 36 35 66 43
provis 3 32 7 30 165
held 15 13 30 140 39
follow 41 49 33 77 37
drop 66 32 68 19 52
treasuri 12 4 206 12 2
store 0 17 0 92 127
open 29 25 79 62 41
action 21 32 62 86 34
previou 36 57 35 21 84
pacif 33 11 0 126 63
give 15 21 38 112 46
demand 97 33 64 9 29
alreadi 29 30 31 119 23
target 21 41 112 28 29
declar 8 0 4 11 208
payout 1 0 0 0 229
european 15 58 89 55 13
execut 13 11 13 130 62
intervent 2 49 176 1 0
insur 5 3 10 107 103
vote 3 13 3 142 66
might 23 34 45 102 22
believ 34 16 49 92 35
sign 32 17 31 134 11
line 32 16 25 87 65
divis 3 3 9 149 61
committe 30 75 68 49 3
fourth 17 9 4 17 175
baker 7 1 132 80 2
properti 23 1 0 73 124
privat 25 45 34 87 30
discuss 35 33 45 103 5
option 30 30 39 105 16
explor 145 1 3 53 18
order 15 13 30 57 104
economi 43 6 138 8 24
fed 1 1 208 8 0
holder 1 0 4 93 119
commun 8 44 20 86 59
much 42 40 59 38 36
start 26 27 48 56 57
ago 35 61 16 26 76
activ 25 31 40 57 61
york 19 3 40 120 31
limit 22 39 41 68 43
gencorp 0 0 0 202 8
author 4 41 51 56 58
trader 55 70 45 20 18
work 41 31 30 68 37
good 22 35 47 27 76
rang 12 33 74 55 32
decis 22 47 26 73 38
accept 28 53 17 92 15
final 17 28 15 49 95
want 31 30 62 67 13
reach 19 41 34 78 31
repres 24 35 23 80 40
posit 29 16 32 73 52
given 14 15 70 51 52
south 48 44 28 55 26
restructur 12 2 13 74 100
doe 20 17 49 81 34
output 128 58 3 4 7
cent 11 24 25 14 126
point 21 27 96 29 26
partner 12 0 20 141 26
larg 28 33 61 28 48
administr 46 89 27 22 14
initi 15 35 20 31 96
turnov 0 0 3 26 167
ship 81 70 2 22 21
third 29 17 20 35 94
mine 23 0 3 112 57
manufactur 4 5 21 111 54
french 9 72 27 74 13
adjust 9 24 39 9 114
farmer 5 180 0 5 2
respect 11 14 28 23 115
paid 6 25 8 59 93
negoti 24 21 18 111 17
ec 0 133 48 8 2
farm 2 172 0 9 7
corpor 19 24 16 79 52
number 25 35 10 74 45
low 29 32 76 19 33
stabil 24 12 138 3 10
commod 8 127 35 12 5
british 26 18 39 66 37
get 28 31 19 89 18
cyclop 0 0 0 185 0
bond 8 6 102 51 18
nil 0 32 1 1 150
news 41 19 31 50 43
go 25 29 30 72 28
form 9 14 15 101 45
food 3 49 5 65 62
china 36 115 10 9 14
texa 66 14 0 57 46
liquid 20 3 97 22 41
special 5 19 21 92 45
long 19 29 45 46 43
letter 8 15 3 151 5
deficit 16 4 146 7 9
balanc 17 16 55 34 60
back 26 25 51 52 28
project 53 17 5 37 69
measur 43 30 79 12 17
budget 43 29 88 8 13
rd 0 0 0 1 179
chief 10 2 22 85 61
abov 44 28 75 14 19
strong 22 15 34 22 86
post 80 13 4 27 55
custom 14 14 84 39 28
agenc 53 40 23 48 15
monetari 1 2 172 1 1
largest 33 12 12 86 34
cooper 20 29 79 32 16
concern 19 19 29 81 28
equiti 9 4 8 89 65
certain 9 9 10 103 44
less 32 42 30 37 33
germani 4 8 127 23 12
competit 21 55 22 37 39
rule 29 43 35 54 12
late 16 31 56 46 24
western 20 21 23 85 23
secretari 35 47 61 29 0
disclos 4 2 3 145 16
brazil 57 21 15 17 60
revis 29 13 84 21 21
air 9 29 3 103 24
veri 17 29 54 33 34
field 106 29 3 15 14
come 34 21 54 27 31
england 0 1 140 16 9
court 21 18 4 111 12
combin 9 12 3 103 39
certif 0 114 17 5 30
studi 56 41 10 50 8
problem 27 28 51 17 42
twa 0 0 0 163 0
return 23 13 25 22 80
ministri 42 27 57 30 7
within 28 17 55 37 25
nd 0 0 0 0 162
least 21 34 16 64 27
detail 19 32 13 72 25
data 13 4 26 52 65
real 6 7 38 43 65
maiz 0 157 2 0 0
assist 18 16 114 10 1
whether 8 38 40 59 13
technolog 4 3 0 89 62
relat 16 9 16 50 67
north 42 24 1 40 51
lead 18 16 62 36 26
expens 4 5 7 38 103
basi 5 17 25 56 53
put 22 38 36 38 21
far 29 17 64 24 21
substanti 5 14 27 51 57
repurchas 0 0 116 19 19
look 20 25 40 36 33
chemic 5 1 2 88 58
reject 7 24 7 112 3
extend 13 21 11 96 12
commerci 13 13 45 49 33
caus 27 44 32 20 30
class 1 1 0 70 80
airlin 1 0 1 114 36
natur 80 4 9 35 23
ecuador 148 2 0 0 1
later 19 29 18 62 22
avail 26 37 7 47 33
affect 15 43 32 8 52
specul 5 21 41 78 4
septemb 15 35 38 30 31
banker 15 0 85 31 18
think 22 20 44 51 11
southern 16 24 0 81 27
shipment 35 92 0 1 20
sector 21 11 29 20 67
decid 26 34 11 59 18
comput 1 1 1 89 56
way 36 29 38 38 6
present 27 20 34 37 29
inform 15 8 9 94 21
ag 1 0 8 60 78
express 4 5 5 120 12
soybean 3 142 0 0 0
respons 17 18 26 70 14
becom 24 12 27 69 13
among 22 13 58 41 11
dec 2 0 0 7 135
benefit 25 18 13 28 60
begin 26 29 31 29 28
date 7 17 9 58 51
ventur 13 0 3 95 30
place 16 13 22 50 40
acr 9 121 0 10 1
worth 3 19 28 79 11
season 11 98 8 6 17
must 22 42 41 28 7
mani 26 36 43 19 16
intend 13 14 15 74 24
boost 31 14 32 36 27
power 8 5 6 48 72
transport 20 20 1 70 26
institut 19 1 39 51 27
cover 15 60 12 20 30
undisclos 1 0 0 130 5
taft 0 0 0 134 2
senior 13 14 49 48 12
refineri 131 0 0 2 3
interven 3 0 130 3 0
review 22 10 21 70 12
purol 0 0 0 135 0
grow 18 30 37 25 25
german 3 10 76 27 19
termin 18 11 0 85 20
sterl 2 1 111 7 13
pact 19 21 57 35 2
economist 9 5 118 1 1
bundesbank 0 0 134 0 0
better 17 15 25 25 52
although 27 19 27 20 41
intent 5 9 8 110 1
indic 18 26 41 33 15
even 20 23 42 29 19
dilut 0 0 0 33 100
convert 3 0 5 93 32
confer 39 8 23 23 40
affili 5 2 0 102 24
main 34 25 41 20 12
dixon 0 0 0 129 3
damag 47 44 18 19 4
commit 23 30 23 48 8
past 29 20 36 27 19
factor 10 10 54 21 36
forc 41 12 27 26 24
aid 17 74 16 12 11
recommend 21 7 10 43 48
joint 9 12 17 66 24
friday 23 8 36 50 11
quot 35 16 34 32 10
life 2 4 9 75 37
equip 8 0 4 88 27
involv 6 14 18 65 23
drill 105 0 0 12 9
pressur 20 11 63 13 18
partnership 12 2 0 83 28
merg 1 4 0 113 7
juli 6 30 6 24 59
facil 17 12 27 43 26
depend 36 15 20 28 26
citi 2 16 6 64 37
surplu 10 20 67 3 24
releas 15 37 15 27 30
guilder 0 4 65 5 48
america 7 4 2 70 39
morn 5 10 74 22 10
taken 12 21 26 38 23
perform 4 4 24 14 74
parent 1 0 0 29 90
deposit 5 0 56 26 33
arabia 90 9 19 0 2
advanc 2 23 41 34 20
taiwan 0 39 77 2 1
reduct 18 27 12 7 55
law 9 13 6 70 21
expir 2 9 11 91 6
expand 6 25 14 46 28
effort 13 13 24 49 20
small 19 14 31 30 24
seen 28 27 35 11 16
prospect 26 23 25 17 26
piedmont 0 0 0 115 2
request 15 31 10 58 2
regular 1 3 9 3 100
hope 20 11 31 34 20
home 5 26 3 46 36
estat 2 1 3 51 59
daili 31 35 27 15 8
bring 30 12 40 22 12
winter 5 106 0 1 3
schedul 18 19 8 54 16
fix 26 10 53 9 17
exist 20 13 10 41 31
without 12 15 18 39 30
particip 6 24 15 48 21
enter 10 7 22 66 9
definit 2 13 6 87 6
buyout 0 0 0 110 4
block 31 2 5 60 16
attempt 11 4 20 66 13
applic 6 10 3 84 11
act 10 10 19 52 23
quota 89 18 2 1 3
land 12 49 4 17 31
impact 10 22 22 15 44
de 24 9 15 37 28
standard 15 5 14 55 23
shortag 7 8 94 1 2
flow 20 5 25 18 44
despit 17 13 27 13 42
chrysler 0 0 0 100 12
harvest 2 106 1 2 0
determin 22 20 22 30 17
commerc 5 9 17 49 31
cabl 0 0 5 88 18
writedown 0 0 0 1 109
unchang 14 21 34 6 35
sharp 19 13 36 14 28
region 28 20 11 34 17
near 35 15 28 14 18
discount 25 3 54 9 19
consolid 2 1 6 41 60
reason 10 17 32 31 19
reagan 45 36 20 8 0
process 9 14 11 57 18
britain 9 10 66 17 7
band 0 1 107 1 0
altern 1 12 5 85 6
gold 2 1 21 49 35
warrant 1 1 9 75 21
sugar 10 59 0 35 3
signific 14 16 14 21 42
shearson 4 1 6 93 3
bonu 1 69 0 1 36
b 1 0 0 49 57
australia 13 30 0 44 20
yield 6 43 40 3 14
spend 34 10 18 9 35
research 32 4 8 34 28
probabl 22 29 16 23 16
led 9 8 15 68 6
deliveri 8 60 7 21 10
crown 6 0 4 27 69
barley 0 106 0 0 0
arrang 5 5 27 57 12
peopl 15 19 18 41 12
london 13 11 39 28 14
consum 19 20 16 26 24
volum 13 27 15 8 41
rice 0 101 3 0 0
offset 14 10 33 5 42
risk 4 6 46 21 26
pipelin 85 0 0 9 9
washington 14 13 46 22 7
regulatori 2 3 4 68 24
maintain 25 15 16 15 30
engin 4 1 4 40 52
case 11 35 9 33 13
tri 10 14 25 42 9
tokyo 2 3 80 7 8
refin 72 7 0 9 12
europ 19 9 35 15 22
subsidi 4 84 9 1 1
press 21 7 19 38 14
electron 0 0 3 53 43
direct 10 9 28 24 28
bushel 1 98 0 0 0
australian 15 29 18 16 21
necessari 13 6 41 23 15
mean 14 17 39 16 12
jame 7 1 43 32 15
immedi 22 9 12 44 11
hugh 9 0 0 86 3
caesar 0 0 0 89 9
steel 9 0 4 37 47
soon 14 13 28 31 11
latest 16 19 27 11 24
heavi 27 33 12 12 13
east 41 14 6 16 20
situat 18 29 24 18 7
paper 4 14 37 27 14
littl 9 14 41 16 16
hit 33 13 22 4 24
face 21 14 22 12 27
buyer 22 17 6 48 3
restat 0 0 1 4 90
principl 2 0 4 79 10
motor 0 0 4 53 38
hutton 1 2 0 92 0
gave 18 17 17 29 14
weather 7 79 3 0 5
telephon 4 1 8 46 35
protect 28 11 9 41 5
contribut 6 5 12 20 51
yet 18 13 17 32 13
step 10 11 33 34 5
continent 14 9 2 24 44
add 6 4 55 16 12
vice 13 8 10 40 21
success 11 7 31 20 23
retail 2 0 3 46 41
keep 24 13 37 14 4
fuel 55 3 1 5 28
delay 7 18 14 24 29
build 20 8 7 33 24
aim 9 12 27 26 18
settlement 2 3 9 27 50
origin 5 20 8 44 14
northern 22 29 0 25 15
light 36 10 11 13 21
consider 15 15 13 35 13
restrict 15 10 27 33 5
medic 0 0 1 56 33
materi 7 4 0 54 25
began 13 13 21 30 13
newspap 17 7 9 50 6
guarante 19 44 5 16 5
electr 4 2 2 35 46
chemlawn 0 0 0 89 0
california 25 1 0 44 19
twoforon 0 0 0 2 86
novemb 5 9 11 25 38
key 5 10 35 21 17
enterpris 4 1 5 42 36
appear 18 16 31 13 10
sea 61 8 3 5 10
progress 1 7 6 47 26
potenti 13 9 16 37 12
fulli 5 2 10 52 18
dont 8 20 28 23 8
yearago 15 5 1 1 64
run 28 8 24 17 9
head 17 12 17 26 14
grant 3 25 3 44 11
dutch 1 10 35 21 19
creat 9 10 19 34 14
africa 28 22 6 20 10
publish 11 2 6 50 16
lend 21 2 33 11 18
broadcast 2 1 1 70 11
august 9 18 3 13 42
telecommun 1 0 3 57 23
specif 8 8 23 15 30
question 9 11 33 22 9
plu 4 4 12 47 17
parti 8 5 19 48 4
oversea 10 5 20 27 22
local 7 10 32 18 17
exceed 12 8 10 16 38
capac 44 4 1 13 22
view 6 7 26 30 14
televis 12 0 7 48 16
slightli 18 11 17 6 31
sharpli 11 11 21 6 34
prepar 14 9 19 25 16
packag 11 13 26 26 7
former 1 2 15 53 12
allegheni 0 0 0 82 1
santa 3 13 0 62 4
push 8 9 52 11 2
leas 19 1 0 28 34
item 3 3 1 9 66
hotel 0 0 3 60 19
greater 8 13 31 14 16
carri 21 7 11 19 24
rumor 3 16 5 56 1
proce 1 0 1 50 29
inflat 7 4 62 1 7
independ 10 2 7 52 10
health 5 0 3 44 29
equal 3 12 6 23 37
employ 6 7 27 33 8
acreag 4 74 0 2 1
wast 1 2 0 62 15
suggest 8 10 36 22 4
sosnoff 0 0 0 78 2
retain 4 2 5 53 16
predict 13 10 17 12 28
outlook 19 11 21 2 27
normal 6 40 13 9 12
exercis 4 0 2 56 18
enhanc 7 48 3 12 10
eas 9 8 51 5 7
urg 16 29 13 21 0
senat 7 49 14 9 0
port 40 32 0 5 2
lost 16 6 7 15 35
feed 0 72 0 5 2
excess 6 12 25 22 14
council 13 27 32 6 1
borgwarn 0 0 0 79 0
advis 7 5 4 62 1
top 15 5 19 28 11
sumita 0 0 78 0 0
royal 9 3 1 17 48
miyazawa 0 0 78 0 0
kong 0 4 4 32 38
interview 26 9 23 12 8
free 16 30 5 11 16
expans 5 7 9 26 31
emerg 25 18 9 20 6
lyng 0 77 0 0 0
lawson 6 0 70 0 1
inventori 18 12 6 8 33
g 1 0 65 6 5
clear 6 10 34 19 8
borrow 6 2 32 14 23
william 6 1 2 49 18
util 9 2 0 12 53
suit 0 0 4 51 21
rain 2 74 0 0 0
oppos 12 22 3 37 2
liabil 6 0 6 35 29
itali 2 20 24 26 4
conserv 6 46 9 4 11
toward 16 11 27 15 6
robert 6 15 15 28 11
octob 10 15 6 14 30
enough 7 15 30 14 9
care 4 5 13 40 13
book 1 9 6 22 37
anticip 6 11 6 12 40
sec 0 0 0 72 2
pound 4 9 49 1 11
polit 13 7 31 16 7
partli 6 4 34 9 21
maker 0 2 1 59 12
find 18 11 17 22 6
establish 2 10 26 25 11
courier 0 0 0 72 2
chicago 3 17 10 33 11
bp 22 0 0 48 4
venezuela 67 4 0 0 2
transfer 8 2 4 43 16
street 1 0 1 53 18
purpos 1 4 6 53 9
pend 7 4 1 48 13
overal 15 13 7 9 29
minor 1 2 1 24 45
minimum 4 15 20 30 4
margin 5 8 11 5 44
dome 1 0 0 46 26
design 4 7 14 42 6
took 5 12 22 23 10
tomorrow 8 11 31 15 7
suspend 24 3 19 6 20
stockhold 1 0 0 39 32
short 11 11 22 17 11
mainli 8 4 9 8 43
great 1 9 7 27 28
encourag 15 16 21 5 15
contain 5 11 5 31 20
congress 15 27 20 7 3
bancorp 0 0 0 43 29
amend 3 22 0 37 10
swiss 0 0 25 15 31
supermarket 0 0 0 63 8
ordinari 1 0 5 45 20
lift 30 7 10 14 10
leav 10 12 23 19 7
kuwait 60 0 10 1 0
john 23 7 2 22 17
iran 65 4 0 2 0
counti 4 27 0 33 7
confid 12 2 18 22 17
branch 0 2 9 41 19
test 16 5 25 11 13
outsid 20 9 9 21 11
employe 5 2 1 45 17
differ 4 28 14 14 10
best 6 6 10 31 17
appli 7 20 9 19 15
worldwid 16 1 8 28 16
wall 1 0 2 53 13
temporari 3 4 42 13 7
row 8 5 2 52 2
revers 5 7 9 1 47
obtain 3 12 6 38 10
mortgag 0 0 2 22 45
hong 0 4 4 28 33
debentur 0 0 0 47 22
correct 2 2 12 22 31
carryforward 0 0 0 4 65
car 0 4 1 30 34
abl 11 10 9 23 16
ab 3 0 0 47 19
sa 9 1 0 45 13
replac 16 4 15 18 15
rather 10 17 23 4 14
network 1 1 3 44 19
longterm 3 6 11 23 25
harper 0 0 0 63 5
fee 37 0 1 23 7
fe 0 13 0 51 4
fail 6 10 14 31 7
difficult 10 11 21 11 15
cyacq 0 0 0 68 0
amc 0 0 0 65 3
weekli 15 24 22 5 1
weak 15 2 20 2 28
viacom 0 0 0 66 1
unlik 6 12 30 11 8
strike 35 15 5 4 8
station 8 0 0 49 10
nearli 9 14 14 13 17
longer 9 4 21 13 20
gasolin 62 1 0 2 2
cubic 60 0 0 4 3
brother 7 1 9 41 9
ussr 2 64 0 0 0
unless 8 7 13 34 4
monday 7 7 24 23 5
mill 4 14 6 29 13
grower 0 62 0 4 0
construct 13 2 4 22 25
arab 32 0 32 1 1
appropri 6 9 30 17 4
almost 4 15 20 9 18
achiev 6 5 20 9 26
turn 7 9 12 12 25
threefortwo 0 0 0 1 64
session 10 4 47 1 3
regul 8 5 20 20 12
primari 7 2 6 5 45
organ 20 16 2 17 10
eep 0 65 0 0 0
disput 23 7 5 19 11
consumpt 35 18 11 0 1
consist 5 7 16 27 10
boston 1 0 0 47 17
water 29 18 0 11 6
trend 10 12 21 9 12
slow 8 18 25 4 9
prime 12 3 23 21 5
legal 2 9 4 34 15
indonesia 42 12 9 1 0
cite 9 13 7 14 21
staff 5 8 8 22 20
similar 12 11 13 9 18
night 22 10 5 21 5
mar 8 12 4 6 33
hand 3 4 33 12 11
defend 23 3 14 12 11
coal 13 0 3 30 17
attack 49 3 7 3 1
approach 10 11 19 17 6
ahead 10 10 25 7 11
variou 6 8 8 29 11
recoveri 17 5 7 3 30
prevent 7 11 23 19 2
nippon 4 2 0 48 8
load 8 43 1 2 8
hard 8 19 18 7 10
connect 4 2 2 32 22
compris 1 13 25 12 11
tire 1 0 0 56 4
stabilis 7 5 49 0 0
seri 7 4 8 21 21
princip 2 1 4 37 17
ownership 3 0 0 48 10
mobil 42 0 0 7 12
middl 27 6 6 6 16
metal 2 1 7 34 17
equival 16 7 10 17 11
defens 7 0 0 36 18
confirm 16 11 12 16 6
brown 0 2 1 35 23
brokerag 2 0 0 49 10
yearend 4 0 4 15 37
san 4 3 0 44 9
restaur 0 0 0 33 27
opportun 10 3 9 25 13
offshor 45 0 5 5 5
miner 7 0 1 40 12
met 9 6 16 27 2
instead 6 9 16 12 17
fundament 7 1 48 3 1
fleet 4 0 0 50 6
dispos 5 0 0 12 43
versu 2 14 2 2 39
structur 5 8 11 21 14
strengthen 5 5 26 13 10
separ 6 1 2 41 9
nv 1 0 2 29 27
list 2 7 3 30 17
famili 0 7 1 45 6
fairchild 1 0 0 54 4
entir 6 9 4 26 14
coast 29 13 0 15 2
ceil 41 2 11 4 1
came 12 2 20 14 11
broker 0 3 26 22 8
rel 8 7 24 7 12
identifi 6 14 7 25 6
em 0 0 56 2 0
elect 3 0 27 22 6
either 3 4 13 35 3
cereal 0 54 0 3 1
center 6 0 1 33 18
attribut 2 3 10 2 41
stop 12 10 19 11 5
proceed 5 9 1 32 10
person 5 5 8 29 10
lp 0 0 0 33 24
island 16 5 7 23 6
iranian 55 0 0 1 1
gross 12 1 13 3 28
governor 2 2 49 3 1
float 9 0 22 18 8
expenditur 26 4 5 0 22
c 1 14 2 31 9
worker 18 5 2 22 9
rest 8 8 11 13 16
hectar 0 55 0 0 1
favor 8 15 2 20 11
depreci 1 0 17 0 38
auction 0 0 53 3 0
approxim 3 5 0 28 20
woolworth 0 0 0 22 33
swap 0 0 48 5 2
survey 19 10 19 0 7
semiconductor 1 0 7 40 7
refer 10 8 16 17 4
movement 9 7 29 2 8
link 13 7 16 15 4
left 9 11 17 13 5
leader 17 20 8 8 2
fluctuat 9 4 31 0 11
emeri 0 0 0 55 0
claim 7 6 3 19 20
bass 8 0 0 45 2
afternoon 3 2 45 4 1
stabl 11 1 34 1 7
sorghum 0 54 0 0 0
soft 1 41 3 5 4
iraq 42 9 1 0 2
found 12 5 7 23 7
feet 43 1 0 7 3
fear 7 10 26 7 4
ccc 0 54 0 0 0
attract 8 9 9 25 3
