0.06203559702782098 0.07395887333678935 0.0924485916709867 0.279419388284085 0.492137549680318
exchang 0.0005372589050663515 0.0010239091774596274 0.007032288495347541 0.0037336935487542974 0.000683139347537476
end 0.0015759594548612978 0.0012394690042932333 0.0011577548132584367 0.0006146934500997929 0.003705708724849516
dividend 3.5817260337756763e-05 1.7963318902800482e-05 1.4293269299486872e-05 7.588808025923368e-06 0.006116030573708158
record 0.00017908630168878383 0.0010418724963624278 0.0008575961579692123 0.00045532848155540207 0.00527177345552505
tonn 0.0004477157542219596 0.016562180028382043 1.4293269299486872e-05 7.588808025923368e-06 9.022595156155343e-05
first 0.0013431472626658787 0.0009161292640428245 0.0011291682746594628 0.0005995158340479461 0.0032159107020867973
earn 0.0003223553430398109 8.981659451400241e-05 0.00017151923159384246 9.106569631108042e-05 0.005252439323047575
may 0.0012356954816526084 0.0028561677055452765 0.0012721009676543316 0.0006754039143071798 0.0026681102818916515
increas 0.0024892995934740953 0.0020298550360164543 0.001114875005359976 0.0005919270260220228 0.0028678963174922343
ltd 0.0008237969877684056 5.3889956708401444e-05 0.00027157211669025054 0.000144187352492544 0.0024232112705102923
buy 0.0005372589050663515 0.001526882106738041 0.0016437259694409903 0.0008727129229811873 0.0002835672763363108
agreement 0.0009670660291194326 0.0016885519768632452 0.0027014278976030186 0.0014342847168995166 0.0003609038062462137
interest 0.0009491573989505543 0.0005029729292784135 0.002772894244100453 0.0014722287570291335 0.0013598339842491268
month 0.002346030552123068 0.0021017083116276563 0.0025870817432071236 0.0013735742526921296 0.0017658507662761172
total 0.001683411235874568 0.002910057662253678 0.001329274044852279 0.0007057591464108733 0.0013469445625974763
offici 0.003134010279553717 0.003916003520810505 0.0035018509783742834 0.0018592579663512252 0.00019334132477475736
plan 0.001540142194523541 0.0012933589610016347 0.0007146634649743436 0.0003794404012961684 0.0013082762976425247
result 0.0006805279464173785 0.0010239091774596274 0.0006289038491774224 0.0003339075531406282 0.0034865885567714576
th 0.00017908630168878383 1.7963318902800482e-05 0.00011434615439589497 6.0710464207386946e-05 0.004872201384323886
stg 0.0003044467128709325 0.0003951930158616106 0.006617783685662421 0.0035136181160025197 0.0013082762976425247
sharehold 8.954315084439192e-05 5.3889956708401444e-05 4.2879807898460615e-05 2.2766424077770105e-05 0.001578954152327185
acquir 0.00023281219219541897 1.7963318902800482e-05 2.8586538598973743e-05 1.5177616051846737e-05 0.0003866826495495147
wheat 3.5817260337756763e-05 0.013777865598447969 2.8586538598973743e-05 1.5177616051846737e-05 6.444710825825245e-06
say 0.002525116853811852 0.0012394690042932333 0.003673370209968126 0.0019503236626623056 0.0005220215768918448
current 0.0012894213721592435 0.0017065152957660458 0.002358389434415334 0.0012521533242773558 0.0016756248147145637
acquisit 0.00017908630168878383 3.5926637805600965e-05 1.4293269299486872e-05 7.588808025923368e-06 0.0008507018290089324
export 0.0028653808270205413 0.007957750273940613 0.0015150865457456083 0.000804413650747877 0.00018045190312310685
board 0.00021490356202654058 0.0010598358152652284 0.0006003173105784487 0.0003187299370887815 0.0012953868759908744
invest 0.0008596142481061623 0.0002874131024448077 0.0007432500035733173 0.0003946180173480151 0.0015402858873722336
common 0.00012536041118214867 0.00012574323231960338 0.0002572788473907637 0.00013659854446662062 0.0013791681167266024
gain 0.0005193502748974731 0.0001975965079308053 0.0004859711561825536 0.00025801947288139453 0.0038217135197143705
today 0.0024892995934740953 0.0012035423664876323 0.0037162500178665866 0.001973090086740076 0.0005155768660660196
sell 0.0008058883575995272 0.0005209362481812139 0.001000528850964081 0.0005312165618146358 0.00033512496294291276
week 0.0026504772649940007 0.003502847186046094 0.002529908666009176 0.0013432190205884362 0.00041246149285281567
intern 0.0010924264403015813 0.0006646427994036179 0.0017008990466389378 0.0009030681550848808 0.0011987162136034956
set 0.000752162467092892 0.0008981659451400241 0.0021725769335220043 0.001153498819940352 0.0023845430055553407
propos 0.0011998782213148516 0.0017244786146688462 0.0009004759658676729 0.0004780949056331722 0.0005026874444143692
stake 0.00016117767151990544 1.7963318902800482e-05 1.4293269299486872e-05 7.588808025923368e-06 0.000341569673768738
secur 0.000608893425741865 8.981659451400241e-05 0.0016008461615425295 0.0008499464989034172 0.0008378124073572819
pay 0.0006626193162485002 0.0003233397402504087 0.00037162500178665865 0.00019730900867400756 0.0033319154969516517
analyst 0.0018087716470567166 0.0010598358152652284 0.0013721538527507397 0.0007285255704886434 0.001153603237822719
three 0.0012536041118214867 0.0012574323231960337 0.001114875005359976 0.0005919270260220228 0.0020945310183932047
six 0.0005909847955729866 0.00044908297257001205 0.0016437259694409903 0.0008727129229811873 0.002655220860240001
tax 0.002292304661616433 0.0003413030591532091 0.0007861298114717779 0.0004173844414257853 0.00290011987162136
govern 0.0025967513744873656 0.0024430113707808654 0.002901533667795835 0.0015405280292624438 0.00026423314385883506
avg 1.7908630168878382e-05 8.981659451400241e-05 1.4293269299486872e-05 7.588808025923368e-06 0.004279287988347963
five 0.0011103350704704598 0.0009879825396540264 0.0011577548132584367 0.0006146934500997929 0.002081641596741554
hold 0.0006626193162485002 0.00023352314573640625 0.0010719951974615153 0.0005691606019442527 0.0006638052150600002
cash 0.0004477157542219596 0.000934092582945625 0.00032874519388819806 0.00017454258459623746 0.001160047948648544
busi 0.00026862945253317575 0.0004131563347644111 0.0006431971184769092 0.0003414963611665516 0.001495172911591457
prior 8.954315084439192e-05 0.00016166987012520434 2.8586538598973743e-05 1.5177616051846737e-05 0.0038023793872368947
currenc 8.954315084439192e-05 0.00035926637805600963 0.00808999042350957 0.004295265342672627 0.0002448990113813593
nation 0.001683411235874568 0.0010777991341680288 0.003373211554678902 0.0017909586941179149 0.0005478004201951458
purchas 0.0005014416447285947 0.0014191021933212381 0.0010148221202635678 0.0005388053698405592 0.0003286802521170875
could 0.0016655026057056895 0.0020837449927248557 0.0020582307791261094 0.001092788355732965 0.00048335331193689337
told 0.0017371371263812032 0.0013652122366128365 0.0019581778940297016 0.0010396666995515014 0.0007604758774473789
foreign 0.0020057665789143786 0.0005748262048896154 0.004273687520546575 0.002269053599751087 0.0004962427335885439
merger 7.163452067551353e-05 5.3889956708401444e-05 1.4293269299486872e-05 7.588808025923368e-06 0.00019334132477475736
system 0.00042980712405308116 0.0005927895237924159 0.0026156682818060974 0.0013887518687439764 0.0008893700939638839
div 1.7908630168878382e-05 1.7963318902800482e-05 1.4293269299486872e-05 7.588808025923368e-06 0.0038474923630176716
meet 0.0018624975375633518 0.0011316890908764303 0.002086817317725083 0.0011079659717848117 0.0007153629016666023
approv 0.0003223553430398109 0.0008802026262372236 0.00021439903949230308 0.00011383212038885052 0.0008700359614864081
make 0.0008058883575995272 0.0013831755555156371 0.0009719423123651072 0.0005160389457627891 0.0008893700939638839
financi 0.00034026397320868925 0.00025148646463920676 0.0011720480825579236 0.0006222822581257162 0.0013340551409458258
japan 0.00039398986371532444 0.0008802026262372236 0.005502908680302445 0.0029216910899804967 0.00018045190312310685
state 0.00243557370296746 0.0024789380085864666 0.0012721009676543316 0.0006754039143071798 0.00047690860111106816
agre 0.0008775228782750407 0.00044908297257001205 0.0015722596229435558 0.0008347688828515706 0.00018689661394893212
manag 0.00039398986371532444 0.0003951930158616106 0.0007861298114717779 0.0004173844414257853 0.000708918190840777
american 0.0006447106860796218 0.0003413030591532091 0.00037162500178665865 0.00019730900867400756 0.0010182643104803886
grain 1.7908630168878382e-05 0.009861862077637465 1.4293269299486872e-05 7.588808025923368e-06 1.9334132477475734e-05
firm 0.0008775228782750407 0.00023352314573640625 0.0007861298114717779 0.0004173844414257853 0.00045112975780776715
nine 0.00016117767151990544 0.00035926637805600963 0.0002429855780912768 0.00012900973644069727 0.0028872304499697097
complet 0.0005014416447285947 0.0002874131024448077 0.0001429326929948687 7.588808025923368e-05 0.00039312736037534
major 0.0007700710972617705 0.0015089187878352403 0.0024727355888112287 0.0013128637884847426 0.0006444710825825246
tender 5.3725890506635145e-05 0.0016166987012520434 0.0006860769263753698 0.0003642627852443217 5.155768660660196e-05
ad 0.001916223428069987 0.0011855790475848319 0.0014579134685476609 0.0007740584186441836 0.0008442571181831071
yen 0.00016117767151990544 3.5926637805600965e-05 0.00626045195317525 0.003323897915354435 0.0004575744686335924
reserv 0.002811654936513906 0.0006107528426952163 0.0031588125151865987 0.0016771265737290644 0.0004897980227627186
continu 0.0012536041118214867 0.0009161292640428245 0.0011720480825579236 0.0006222822581257162 0.0011084902620419421
gener 0.0008596142481061623 0.0008263126695288222 0.0005002644254820405 0.0002656082809073179 0.0010569325754353402
mark 3.5817260337756763e-05 0.00016166987012520434 0.0027300144362019923 0.0014494623329513634 0.0015660647306755347
credit 0.00042980712405308116 0.0011855790475848319 0.001000528850964081 0.0005312165618146358 0.0016756248147145637
estim 0.0014326904135102706 0.0027663511110312742 0.0012149278904563842 0.0006450486822034863 0.0008378124073572819
level 0.0016655026057056895 0.0014191021933212381 0.002887240398496348 0.0015329392212365203 0.000683139347537476
bid 0.00039398986371532444 0.0009879825396540264 0.00047167788688306676 0.00025043066485547113 0.00011600479486485442
made 0.0007879797274306489 0.0013292855988072357 0.0008718894272686992 0.00046291728958132547 0.000683139347537476
rais 0.0021669442504342845 0.0004670462914728125 0.0006003173105784487 0.0003187299370887815 0.0010118195996545636
barrel 0.008381238919035083 1.7963318902800482e-05 5.717307719794749e-05 3.0355232103693473e-05 7.733652990990294e-05
loan 0.0007879797274306489 0.0010239091774596274 0.0004859711561825536 0.00025801947288139453 0.0014049469600299035
take 0.0008237969877684056 0.0008263126695288222 0.0017294855852379115 0.0009182457711367275 0.0005155768660660196
rise 0.0017371371263812032 0.0008263126695288222 0.002529908666009176 0.0013432190205884362 0.0009860407563512625
earlier 0.000984974659288311 0.000970019220751226 0.0010291153895630547 0.0005463941778664825 0.0011922715027776704
announc 0.0006984365765862569 0.0007724227128204207 0.0006289038491774224 0.0003339075531406282 0.0006638052150600002
asset 0.00012536041118214867 1.7963318902800482e-05 0.0003144519245887112 0.0001669537765703141 0.001024709021306214
issu 0.0006447106860796218 0.0008263126695288222 0.0012006346211568973 0.000637459874177563 0.0008571465398347577
term 0.0004835330145597163 0.00044908297257001205 0.0009290625044666467 0.000493272521685019 0.00047690860111106816
corn 7.163452067551353e-05 0.008137383462968618 1.4293269299486872e-05 7.588808025923368e-06 6.444710825825245e-06
becaus 0.0016117767151990544 0.001562808744543642 0.0013721538527507397 0.0007285255704886434 0.0006638052150600002
period 0.0005014416447285947 0.0011496524097792309 0.0007432500035733173 0.0003946180173480151 0.0018431872961860202
four 0.0008058883575995272 0.0007724227128204207 0.0006146105798779355 0.00032631874511470483 0.0015982882848046608
chang 0.001164060960977095 0.001311322279904435 0.0019724711633291882 0.0010472555075774247 0.0008829253831380586
close 0.001164060960977095 0.00044908297257001205 0.0013721538527507397 0.0007285255704886434 0.0005478004201951458
import 0.0026504772649940007 0.003466920548240493 0.001229221159755871 0.0006526374902294097 0.00016111777064563114
time 0.001074517810132703 0.0012215056853904327 0.0015293798150450952 0.0008120024587738005 0.0005671345526726216
countri 0.0024176650727985817 0.002047818354919255 0.0023155096265168734 0.0012293869001995857 0.00018689661394893212
money 8.954315084439192e-05 8.981659451400241e-05 0.006203278875977302 0.003293542683250742 6.444710825825245e-05
cost 0.0010566091799638245 0.0013831755555156371 0.0003144519245887112 0.0001669537765703141 0.0017014036580178648
capit 0.00035817260337756766 0.00012574323231960338 0.0009719423123651072 0.0005160389457627891 0.0011922715027776704
world 0.0018087716470567166 0.0016526253390576444 0.0009719423123651072 0.0005160389457627891 0.0005155768660660196
subsidiari 0.0004477157542219596 5.3889956708401444e-05 4.2879807898460615e-05 2.2766424077770105e-05 0.0007733652990990294
crude 0.007700710972617705 5.3889956708401444e-05 1.4293269299486872e-05 7.588808025923368e-06 0.00015467305981980588
ga 0.00376081233546446 3.5926637805600965e-05 2.8586538598973743e-05 1.5177616051846737e-05 0.0007926994315765051
franc 0.00017908630168878383 0.0005029729292784135 0.0020439375098266228 0.0010851995477070416 0.0013533892734233016
qtli 1.7908630168878382e-05 1.7963318902800482e-05 1.4293269299486872e-05 7.588808025923368e-06 0.0028872304499697097
dealer 7.163452067551353e-05 0.0003772296969588101 0.0052027500250132214 0.0027623261214361062 5.800239743242721e-05
feder 0.0005551675352352299 0.00044908297257001205 0.0017723653931363721 0.0009410121952144976 0.0005478004201951458
cut 0.0012715127419903652 0.0011137257719736299 0.0024727355888112287 0.0013128637884847426 0.0006058028176275731
ani 0.001074517810132703 0.0013472489177100361 0.0010577019281620284 0.0005615717939183293 0.0003866826495495147
around 0.0010387005497949462 0.0008981659451400241 0.003344625016079928 0.001775781078066068 0.00034801438459456323
split 3.5817260337756763e-05 8.981659451400241e-05 2.8586538598973743e-05 1.5177616051846737e-05 0.0027196679684982536
februari 0.002059492469421014 0.0010777991341680288 0.0016294327001415035 0.0008651241149552639 0.0006509157934083497
statement 0.001164060960977095 0.0004131563347644111 0.0007289567342738304 0.0003870292093220918 0.000708918190840777
servic 0.00046562438439083794 0.0003772296969588101 0.00032874519388819806 0.00017454258459623746 0.0009344830697446605
central 0.00025072082236429733 0.00025148646463920676 0.004988350985520918 0.0026484940010472555 0.00016756248147145638
depart 0.0008954315084439192 0.004131563347644111 0.00027157211669025054 0.000144187352492544 0.00022556487890388358
see 0.0008058883575995272 0.0005927895237924159 0.0008718894272686992 0.00046291728958132547 0.001630511838933787
declin 0.0013431472626658787 0.0006287161615980168 0.001543673084344582 0.0008195912667997237 0.0007798100099248547
control 0.00023281219219541897 0.0003233397402504087 0.000671783657075883 0.00035667397721839833 0.0002513437222071846
lower 0.0009491573989505543 0.0012574323231960337 0.0009862355816645941 0.0005236277537887124 0.0012824974543392239
day 0.003008649868371568 0.0006107528426952163 0.0014722067378471477 0.000781647226670107 0.00016111777064563114
spokesman 0.0012715127419903652 0.0007724227128204207 0.0007146634649743436 0.0003794404012961684 0.0003286802521170875
valu 0.0004835330145597163 0.0006107528426952163 0.0008004230807712648 0.0004249732494517086 0.0005606898418467963
chairman 0.00035817260337756766 0.00035926637805600963 0.0004859711561825536 0.00025801947288139453 0.0007798100099248547
produc 0.0025609341141496086 0.0023711580951696638 0.00022869230879178995 0.00012142092841477389 0.00026423314385883506
futur 0.0011998782213148516 0.0016526253390576444 0.0012863942369538185 0.0006829927223331032 0.0005091321552401943
januari 0.0012715127419903652 0.0007724227128204207 0.0014007403913497134 0.00074370318654049 0.000947372491396311
incom 0.00017908630168878383 0.0003951930158616106 0.00017151923159384246 9.106569631108042e-05 0.0021138651508706805
compar 0.0007163452067551353 0.000970019220751226 0.0010291153895630547 0.0005463941778664825 0.0013276104301200005
exclud 0.00014326904135102705 0.00014370655122240386 7.146634649743435e-05 3.794404012961684e-05 0.0023265406081229133
sourc 0.0012536041118214867 0.0021555982683360577 0.001543673084344582 0.0008195912667997237 7.08918190840777e-05
rose 0.0012536041118214867 0.0005029729292784135 0.0008433028886697255 0.0004477396735294787 0.0012953868759908744
mth 1.7908630168878382e-05 1.7963318902800482e-05 1.4293269299486872e-05 7.588808025923368e-06 0.002526326643723496
financ 0.000376081233546446 0.00017963318902800482 0.001786658662435859 0.000948601003240421 0.0004253509145044662
presid 0.001683411235874568 0.000485009610375613 0.0007146634649743436 0.0003794404012961684 0.0005478004201951458
outstand 5.3725890506635145e-05 5.3889956708401444e-05 0.0001429326929948687 7.588808025923368e-05 0.0005478004201951458
revenu 0.0011461523308082164 0.00014370655122240386 2.8586538598973743e-05 1.5177616051846737e-05 0.0014113916708557287
develop 0.0015580508246924192 0.0005029729292784135 0.0007861298114717779 0.0004173844414257853 0.000734697034144078
commiss 0.00023281219219541897 0.0013652122366128365 0.00012863942369538184 6.829927223331031e-05 0.0003544590954203885
due 0.0008596142481061623 0.0008442759884316226 0.0008147163500707517 0.00043256205747763197 0.0010053748888287383
befor 0.0009312487687816759 0.0004131563347644111 0.001243514429055358 0.0006602262982553331 0.0008184782748798062
receiv 0.0002865380827020541 0.0010239091774596274 0.0002001057701928162 0.00010624331236292716 0.0004640191794594177
fund 0.00017908630168878383 0.00016166987012520434 0.0021582836642225177 0.0011459100119144286 0.0006058028176275731
fall 0.0010028832894571893 0.0012035423664876323 0.002129697125623544 0.0011307323958625818 0.0006058028176275731
payment 0.0004477157542219596 0.0020298550360164543 0.0006431971184769092 0.0003414963611665516 0.0007282523233182527
sinc 0.0009312487687816759 0.0011496524097792309 0.0015150865457456083 0.000804413650747877 0.00041246149285281567
growth 0.00042980712405308116 0.00030537642134760817 0.001886711547532267 0.0010017226594218845 0.0011020455512161169
recent 0.0008954315084439192 0.0010777991341680288 0.0014007403913497134 0.00074370318654049 0.00041246149285281567
debt 0.0005909847955729866 5.3889956708401444e-05 0.0011577548132584367 0.0006146934500997929 0.0009409277805704858
reduc 0.0006805279464173785 0.0013292855988072357 0.0009147692351671598 0.00048568371365909557 0.00078625472075068
opec 0.006357563709951826 1.7963318902800482e-05 2.8586538598973743e-05 1.5177616051846737e-05 6.444710825825245e-06
japanes 0.00046562438439083794 0.00035926637805600963 0.0025013221274102024 0.0013280414045365894 0.00013533892734233016
canada 0.0010566091799638245 0.0009520559018484255 0.0009004759658676729 0.0004780949056331722 0.0005349109985434954
polici 0.0007700710972617705 0.000970019220751226 0.0029872932835927563 0.001586060877417984 0.0001288942165165049
higher 0.0011282437006393381 0.0008802026262372236 0.0005288509640810142 0.00028078589695916463 0.0010891561295644663
use 0.0010028832894571893 0.0014011388744184375 0.0007861298114717779 0.0004173844414257853 0.0003609038062462137
accord 0.0011282437006393381 0.0010598358152652284 0.0021439903949230306 0.0011383212038885053 0.0001417836381681554
agricultur 0.00014326904135102705 0.00594585855682696 2.8586538598973743e-05 1.5177616051846737e-05 4.5112975780776714e-05
remain 0.000841705617937284 0.0006466794805008174 0.0011577548132584367 0.0006146934500997929 0.0005155768660660196
bill 0.00017908630168878383 0.00186818516589125 0.0030301730914912167 0.001608827301495754 3.2223554129126224e-05
annual 0.0007163452067551353 0.0006287161615980168 0.0002858653859897374 0.00015177616051846737 0.0010569325754353402
bpd 0.006071025627249772 1.7963318902800482e-05 1.4293269299486872e-05 7.588808025923368e-06 1.288942165165049e-05
addit 0.0005551675352352299 0.0008802026262372236 0.00037162500178665865 0.00019730900867400756 0.0007024734800149517
program 0.0005014416447285947 0.004005820115324507 0.00017151923159384246 9.106569631108042e-05 0.0002513437222071846
jan 7.163452067551353e-05 3.5926637805600965e-05 5.717307719794749e-05 3.0355232103693473e-05 0.002017194488483302
investor 0.00025072082236429733 5.3889956708401444e-05 0.000671783657075883 0.00035667397721839833 0.00020623074642640783
econom 0.0009133401386127975 0.0006826061183064183 0.0028586538598973743 0.0015177616051846737 0.00013533892734233016
p 1.7908630168878382e-05 1.7963318902800482e-05 2.8586538598973743e-05 1.5177616051846737e-05 0.0015338411765464083
onli 0.001074517810132703 0.001311322279904435 0.001114875005359976 0.0005919270260220228 0.00030934611963961175
energi 0.0037787209656333386 5.3889956708401444e-05 2.8586538598973743e-05 1.5177616051846737e-05 0.0004253509145044662
well 0.0021311269900965274 0.00044908297257001205 0.0006003173105784487 0.0003187299370887815 0.0005478004201951458
fiscal 0.0003223553430398109 0.0003772296969588101 0.0005431442333805011 0.000288374704985088 0.001527396465720583
associ 0.0005014416447285947 0.0011676157286820313 0.00032874519388819806 0.00017454258459623746 0.0005349109985434954
eight 0.000376081233546446 0.00035926637805600963 0.0004859711561825536 0.00025801947288139453 0.0013340551409458258
st 5.3725890506635145e-05 0.00021555982683360577 2.8586538598973743e-05 1.5177616051846737e-05 0.0018431872961860202
west 0.0008954315084439192 0.00044908297257001205 0.002086817317725083 0.0011079659717848117 0.0002706778546846603
talk 0.00046562438439083794 0.0008083493506260217 0.0008718894272686992 0.00046291728958132547 0.0001288942165165049
sold 0.00025072082236429733 0.0008442759884316226 0.00042879807898460616 0.00022766424077770103 0.00033512496294291276
part 0.0005909847955729866 0.0008083493506260217 0.00044309134828409303 0.0002352530488036244 0.00034801438459456323
transact 0.00016117767151990544 0.00014370655122240386 0.0007003701956748567 0.000371851593270245 0.00011600479486485442
provid 0.00042980712405308116 0.0007185327561120193 0.0010434086588625416 0.0005539829858924059 0.0002706778546846603
minist 0.002525116853811852 0.0006107528426952163 0.0017580721238368853 0.0009334233871885743 1.288942165165049e-05
uk 0.0003223553430398109 0.0007005694372092188 0.0025442019353086633 0.0013508078286143595 0.00021912016807805834
charg 0.00021490356202654058 7.185327561120193e-05 4.2879807898460615e-05 2.2766424077770105e-05 0.0017142930796695153
base 0.0006626193162485002 0.0005927895237924159 0.0008861826965681861 0.0004705060976072488 0.0004317956253302914
account 0.00034026397320868925 0.00030537642134760817 0.0010862884667610022 0.000576749409970176 0.0011213796836935927
figur 0.000752162467092892 0.0014729921500296395 0.0006289038491774224 0.0003339075531406282 0.0009151489372671848
effect 0.0011103350704704598 0.0005568628859868149 0.0009004759658676729 0.0004780949056331722 0.0007475864557957285
yesterday 0.0008954315084439192 0.0006287161615980168 0.0014007403913497134 0.00074370318654049 0.0001997860356005826
hi 0.0007879797274306489 0.0005568628859868149 0.0008575961579692123 0.00045532848155540207 0.00019334132477475736
help 0.0013252386324970004 0.0006287161615980168 0.0019152980861312408 0.0010169002754737313 0.00026423314385883506
comment 0.00023281219219541897 0.0006287161615980168 0.0013149807755527922 0.0006981703383849499 0.00018689661394893212
canadian 0.0008954315084439192 0.0011137257719736299 0.0004002115403856324 0.0002124866247258543 0.00041246149285281567
plc 0.00019699493185766222 1.7963318902800482e-05 1.4293269299486872e-05 7.588808025923368e-06 0.000734697034144078
amount 0.00042980712405308116 0.0007544593939176202 0.0009290625044666467 0.000493272521685019 0.0005478004201951458
pretax 1.7908630168878382e-05 3.5926637805600965e-05 1.4293269299486872e-05 7.588808025923368e-06 0.001682069525540389
right 0.0004835330145597163 0.00012574323231960338 0.0002001057701928162 0.00010624331236292716 0.0003995720712011652
takeov 8.954315084439192e-05 1.7963318902800482e-05 1.4293269299486872e-05 7.588808025923368e-06 0.00017400719229728162
seven 0.00023281219219541897 0.0006466794805008174 0.00027157211669025054 0.000144187352492544 0.001237384478558447
need 0.0011819695911459733 0.0010777991341680288 0.0013721538527507397 0.0007285255704886434 0.00016756248147145638
improv 0.0005193502748974731 0.0005927895237924159 0.0005002644254820405 0.0002656082809073179 0.0010956008403902916
