359 428 535 1617 2848
acquist 0 0 0 2 0
acqur 0 0 0 1 1
acqusit 0 0 0 2 1
acqust 0 0 0 0 1
acquyir 0 0 0 1 0
acr 9 121 0 10 1
acreag 4 74 0 2 1
acreas 0 0 0 1 0
acrimoni 0 0 1 0 0
across 5 6 3 2 2
acrosstheboard 0 1 0 0 0
acryl 0 0 0 0 1
act 10 10 19 52 23
action 21 32 62 86 34
actitivi 0 0 0 0 1
activ 25 31 40 57 61
acton 0 0 0 3 0
actual 7 13 7 5 5
actuari 0 0 0 1 0
acuir 0 0 0 1 0
acuisit 0 0 0 1 0
acuqir 0 0 0 1 0
acuqisit 0 0 0 1 0
ad 106 65 101 133 130
adam 3 0 0 3 3
adamantli 0 1 0 0 0
adamsrussel 0 0 0 3 0
adana 1 0 0 0 0
adapingth 1 0 0 0 0
adapt 0 1 3 1 0
adc 0 0 0 0 1
add 6 4 55 16 12
addedadd 0 0 1 0 0
addedvalu 0 0 0 0 1
addit 30 48 25 129 108
additivi 0 0 0 1 0
address 7 4 6 2 5
addressograph 0 0 0 0 1
adelaid 0 0 0 1 2
ademco 0 0 0 2 0
adequ 0 15 9 6 4
adequaci 0 0 1 2 3
adher 17 2 1 0 0
adhes 0 0 0 9 0
adjac 0 1 0 1 1
adjoin 0 1 0 1 1
adjourn 0 0 0 8 0
adjus 0 0 0 0 1
adjust 9 24 39 9 114
adkerson 1 0 0 0 0
adler 0 0 0 0 2
adm 0 5 0 0 0
admac 0 0 0 0 1
admgrowmark 0 1 0 0 0
admininistr 0 0 0 0 1
administ 1 0 0 2 2
administr 46 89 27 22 14
administrationback 0 1 0 0 0
adminstr 2 0 0 0 1
admir 1 0 0 1 2
admiralti 0 0 0 3 0
admiss 1 0 0 2 0
admit 0 1 1 0 0
adnan 0 0 0 0 1
adob 0 0 0 5 3
adopt 6 4 15 13 13
adr 0 0 0 0 4
adriat 0 1 0 0 0
adss 0 0 0 1 0
adsteam 0 0 0 7 10
adtec 0 0 0 0 1
advanc 2 23 41 34 20
advantag 6 8 5 12 10
adventist 0 0 0 1 0
adventur 0 0 0 4 0
advers 1 5 8 5 14
advertis 0 0 0 21 10
advic 0 2 2 5 0
advis 7 5 4 62 1
advisor 0 0 1 29 5
advisori 0 3 0 11 1
advo 0 0 0 0 1
advoc 5 2 2 5 0
advosystem 0 0 0 0 2
advsior 0 0 0 1 0
ae 0 3 0 0 0
aec 0 0 0 0 1
aeg 0 0 0 0 1
aegean 39 0 0 0 0
ael 0 0 0 0 1
aep 0 0 0 0 1
aequitron 0 0 0 0 3
aerial 1 0 0 0 1
aero 0 0 0 5 4
aerojet 0 0 0 3 0
aeroperu 0 0 0 1 0
aerosol 0 0 0 1 0
aerospac 0 0 1 34 8
aerotech 0 0 0 0 1
aetna 0 0 0 6 0
afbf 0 2 0 0 0
affadavit 0 0 0 1 0
affair 2 2 11 3 5
affect 15 43 32 8 52
affili 5 2 0 102 24
affineri 0 0 0 5 0
affirm 1 0 0 2 0
afford 3 2 2 0 1
afg 0 0 0 30 2
afrcian 0 0 0 1 0
africa 28 22 6 20 10
african 3 7 0 16 2
after 135 34 165 177 281
aftereffect 0 0 1 0 0
aftermath 0 0 0 1 0
afternoon 3 2 45 4 1
aftertax 0 0 0 7 22
aftertaxcash 0 0 0 1 0
afterward 0 0 1 1 1
ag 1 0 8 60 78
aga 1 0 0 0 0
again 19 13 37 22 15
against 56 73 225 82 170
againto 0 1 0 0 0
agcni 1 0 0 0 0
age 0 1 0 1 3
agenc 53 40 23 48 15
agenda 1 10 3 2 0
agengi 0 0 0 0 1
agent 0 8 1 8 3
agfagevaert 0 0 0 0 1
aggrav 1 0 4 0 0
aggreg 1 0 2 20 4
aggress 3 1 16 5 11
aggressor 3 0 0 0 0
agip 3 0 0 0 0
agl 0 0 0 11 0
agnew 0 0 0 0 1
ago 35 61 16 26 76
agpm 0 4 0 0 0
agr 0 0 0 1 0
agre 48 24 109 352 28
agree 0 0 0 1 0
agreedupon 0 0 0 0 1
agreeement 0 1 0 0 0
agreement 53 93 188 461 55
agreemn 0 0 0 1 0
agress 0 0 0 1 1
agrianalysi 0 2 0 0 0
agribusi 0 2 0 0 2
agrico 0 0 0 1 2
agricol 0 1 0 3 0
agricola 0 0 0 2 0
agricultur 7 330 1 6 6
agriindustri 0 1 0 0 0
agrio 4 0 0 0 0
agriproduct 0 0 0 2 0
agritech 0 0 0 0 1
agroindustri 0 0 0 2 0
agronom 0 0 0 0 1
aground 1 4 0 0 0
agrument 0 1 0 0 0
aguarico 3 0 0 0 0
ah 0 0 0 0 4
ahead 10 10 25 7 11
ahlsel 0 0 0 0 1
ahm 6 0 2 0 0
ahmanson 0 0 0 0 1
ahold 0 0 0 0 3
ai 0 0 0 2 0
aid 17 74 16 12 11
aidsrel 0 0 0 1 2
ail 2 0 0 2 0
aileen 0 0 0 0 1
aim 9 12 27 26 18
air 9 29 3 103 24
airborn 0 0 0 1 0
airbu 0 0 0 0 3
aircal 0 0 0 7 0
aircala 0 0 0 1 0
airco 0 0 0 5 0
aircraft 6 0 0 18 17
airdrom 0 0 0 2 0
airfram 0 0 0 1 0
airfreight 0 0 0 0 1
airlin 1 0 1 114 36
airmot 0 0 0 2 0
airmov 0 0 0 3 0
airplan 0 0 0 1 0
airport 1 0 1 11 1
airtight 0 0 1 0 0
airway 0 0 1 5 14
aiway 0 0 0 1 0
ajinomoto 0 0 0 7 0
akbar 2 0 0 0 0
akiman 2 0 0 0 0
akron 0 0 0 7 0
akzo 0 0 0 11 4
al 2 0 0 0 4
ala 0 0 0 1 1
alaam 2 0 0 0 0
alabama 1 1 0 4 1
alain 0 0 0 1 0
alameda 0 0 0 1 0
alamo 0 0 0 1 0
alan 0 0 1 10 2
alanba 1 0 0 0 0
alarm 0 0 2 1 0
alasadi 1 0 0 0 0
alaska 14 0 0 9 1
alaskan 12 0 0 2 0
alatenn 0 0 0 0 1
alawsat 1 0 0 0 0
alazzawi 0 0 0 0 1
albani 0 0 0 4 0
albanytupelo 0 0 0 1 0
albeit 0 0 0 0 1
alberston 0 0 0 2 0
albert 1 3 1 2 2
alberta 11 0 0 5 4
albertabas 0 0 0 1 0
albertson 0 0 0 2 1
albukhoosh 5 0 0 0 0
alc 0 0 0 0 3
alcad 0 0 0 2 0
alcan 0 0 0 11 0
alcasa 0 0 0 0 1
alchalabi 5 0 0 0 0
alco 0 0 0 2 0
alcoa 0 0 0 1 0
alcohol 1 0 0 0 0
alcudiai 1 0 0 0 0
aldakhil 0 0 1 0 0
alden 0 0 0 2 3
aldershot 0 0 0 3 0
ale 0 0 0 0 1
aleg 0 0 0 0 1
alejandro 0 2 0 0 0
alert 3 0 0 1 0
alex 0 0 0 3 2
alexand 0 2 0 1 2
alexandria 5 0 0 0 0
alfa 0 0 0 1 1
alfalfa 0 4 0 0 0
alfin 0 0 0 0 1
alfr 0 1 1 5 1
algemen 0 0 1 2 1
algeria 10 19 1 0 0
algerian 4 1 0 0 0
algeriausda 0 1 0 0 0
algier 1 0 0 0 0
algoma 0 0 0 1 0
algona 0 1 0 0 0
ali 13 0 0 0 0
alic 0 0 0 3 0
alick 1 0 0 0 0
align 1 0 7 0 0
alik 0 1 2 0 0
alitalia 0 0 0 0 7
aliv 0 0 2 1 0
alkhalifa 6 0 0 0 0
alkhatib 1 0 0 0 0
all 70 70 54 311 100
allan 0 0 0 2 2
allcash 0 0 0 3 0
alldestin 0 1 0 0 0
alleg 1 2 0 21 7
allegedli 0 0 0 1 0
alleghani 0 0 0 8 3
allegheney 0 0 0 1 0
allegheni 0 0 0 82 1
alleghney 0 0 0 5 0
allegi 0 0 0 1 0
allen 1 3 0 2 0
allenbradley 0 0 0 0 3
allentown 0 0 0 1 0
allergan 0 0 0 0 2
allevi 0 1 2 0 0
alli 6 0 7 31 7
allianc 3 0 1 3 6
alliedlyon 0 0 0 12 14
alliedsign 0 0 0 15 2
allign 0 0 0 1 0
allischalm 0 0 0 22 0
allison 0 0 0 0 4
allmach 0 0 0 1 0
alloc 7 2 18 4 5
allot 1 0 1 0 0
allow 58 36 35 66 43
allowancewhich 1 0 0 0 0
alloy 0 0 0 1 1
alloytek 0 0 0 0 4
allsaudi 0 0 0 0 1
allstar 0 0 0 0 3
allsuit 0 0 0 0 2
alltel 0 0 0 1 0
alltest 0 0 0 1 0
alltim 1 0 0 0 2
allwast 0 0 0 7 0
allyearround 0 1 0 0 0
almaden 0 0 0 3 0
almenara 0 0 0 1 0
almi 0 0 0 0 1
almir 2 0 0 0 0
almost 4 15 20 9 18
alnahayan 1 0 0 0 0
aloett 0 0 0 0 1
aloha 0 0 0 10 0
alon 2 1 16 4 3
along 13 13 4 16 7
alongsid 0 0 1 0 0
aloteiba 1 0 0 0 0
alpha 0 0 0 9 1
alpin 0 0 0 2 1
alqaba 3 0 0 0 0
alrai 2 0 0 0 0
alreadi 29 30 31 119 23
alrifai 0 0 1 0 0
alsabah 6 0 0 0 0
alsacienn 0 0 0 1 0
alsalim 2 0 0 0 0
alshaheen 1 0 0 0 0
alsharq 1 0 0 0 0
also 166 127 203 495 351
alsthom 0 0 0 4 1
altay 0 0 2 0 0
alter 8 2 4 5 1
altern 1 12 5 85 6
alternaitcv 0 0 0 1 0
alternativeswhil 1 0 0 0 0
altex 0 0 0 4 0
althani 1 0 0 0 0
although 27 19 27 20 41
altogeth 0 0 1 0 0
alton 0 0 0 1 0
altron 0 0 0 1 1
alumina 0 0 0 0 1
aluminimum 0 0 0 0 1
aluminium 0 0 0 2 19
aluminum 0 0 0 4 3
alusuiss 0 0 0 0 20
alvaro 0 2 0 0 0
alvit 19 0 0 0 0
alwattari 11 0 0 0 0
alway 2 6 5 5 6
alza 0 0 0 9 0
alzubedei 1 0 0 0 0
alzubeidi 1 0 0 0 0
am 7 0 5 10 23
amalgam 0 2 0 4 7
amapa 0 0 0 1 0
amarillo 0 3 0 0 0
amarlo 0 1 0 0 0
amass 0 0 0 1 0
amauligak 1 0 0 0 0
amaz 0 0 0 0 1
amazon 5 0 0 0 0
amb 0 0 0 0 6
ambank 0 0 0 0 1
ambassador 7 0 4 5 0
ambit 0 0 0 0 1
ambiti 1 0 1 1 0
ambrit 0 0 0 6 2
amc 0 0 0 65 3
amca 0 0 0 3 0
amcast 0 0 0 4 2
amcor 0 0 0 5 0
amd 0 0 2 1 0
ame 0 0 0 0 5
amend 3 22 0 37 10
amendemnt 0 0 0 1 0
amerada 2 0 0 1 0
amerford 0 0 0 3 0
ameriana 0 0 0 0 1
america 7 4 2 70 39
american 35 18 25 324 157
americanairc 0 0 0 1 0
americantur 0 0 0 2 0
americu 0 0 0 4 4
amerihealth 0 0 0 0 1
ameritech 0 0 0 0 1
ameritrust 0 0 0 12 7
ameron 0 0 0 3 2
amertek 0 0 0 0 1
amex 0 0 0 2 0
amfac 0 0 0 2 0
amfm 0 0 0 2 0
ami 0 0 0 15 0
amic 0 0 0 3 0
amid 0 3 6 3 0
amidst 1 0 0 0 0
amin 0 0 0 0 1
amman 1 0 0 0 0
ammend 1 0 0 0 0
ammonia 1 0 0 0 1
ammunit 0 0 0 0 1
amnount 0 0 0 0 1
amoco 18 0 0 0 0
among 22 13 58 41 11
amongst 0 0 0 1 0
amort 0 0 0 0 10
amortis 0 0 0 0 2
amoskeag 0 0 0 10 1
amount 23 41 64 94 84
amour 0 0 0 1 0
amp 0 0 0 3 1
ampalamerican 0 0 0 0 1
amphenol 0 0 0 4 0
ampl 1 3 0 0 2
amplifi 0 0 0 1 0
ampol 1 0 0 0 0
amr 0 0 0 3 7
amrep 0 0 0 0 1
amro 0 0 5 0 0
amselco 0 0 0 4 0
amsol 0 1 0 0 0
amsouth 0 0 0 5 0
amsterdam 0 0 0 3 2
amsterdamrotterdam 0 0 1 0 0
amstutz 0 31 0 0 0
amt 0 0 0 0 4
amtech 0 0 0 3 0
amtorg 0 1 0 0 0
amtron 0 0 0 0 1
amus 0 0 0 23 1
amvestor 0 0 0 0 3
amylum 0 0 0 6 0
an 299 282 294 889 417
ana 0 0 0 3 0
anacomp 0 0 0 8 9
anaheim 0 0 0 1 0
analog 0 0 0 0 1
analys 0 1 1 0 0
analysi 3 5 2 2 1
analyst 100 58 95 260 178
analyt 0 0 0 2 5
analytichem 0 0 0 3 0
analyz 0 0 0 4 1
anamoli 0 0 0 1 0
anatolian 4 0 0 0 0
ancestor 0 1 0 0 0
anchor 1 0 3 0 8
anchorag 1 0 0 1 0
and 1461 1536 1684 4215 3183
anda 0 0 0 1 0
andean 2 0 0 0 0
ander 0 0 0 1 0
andersen 1 0 0 0 4
anderson 0 0 0 7 0
andersson 0 0 0 1 0
andi 0 0 0 1 0
andor 0 5 0 2 1
andr 0 0 0 4 0
andrea 5 0 0 0 0
andrew 1 0 2 3 0
andriessen 0 4 0 0 0
androsch 0 0 0 0 4
aneco 0 0 0 0 1
anew 2 0 0 0 0
angel 0 0 0 36 4
angelesbas 0 0 0 3 0
angelica 0 0 0 0 1
anger 1 1 1 1 0
angina 0 0 0 0 1
anglia 0 2 0 0 0
anglo 0 0 0 1 5
anglodutch 0 0 0 0 2
angola 2 0 0 0 0
angri 0 0 0 1 0
angu 0 0 0 0 3
anheuserbusch 0 0 0 1 0
anhui 0 4 0 0 0
ani 59 74 73 176 59
anim 1 8 0 6 5
anita 0 0 0 0 3
anitec 0 0 0 0 2
anixt 0 0 0 2 0
ankara 6 0 0 0 0
ann 0 0 3 0 1
annal 0 0 0 0 1
annesley 0 0 0 9 0
annex 1 0 0 0 0
anniversari 0 0 2 1 3
annnounc 1 0 0 0 0
annouc 1 0 0 1 0
announc 38 42 43 261 102
annoy 0 0 2 0 0
annual 39 34 19 90 163
annualis 0 0 1 0 0
annuiti 0 0 0 2 0
annum 0 0 0 0 1
anomali 0 0 0 1 0
anonym 0 0 1 6 0
anoth 11 35 48 110 39
anova 0 0 0 0 4
ansbach 0 0 0 4 0
answer 3 3 8 4 3
antagonis 0 0 1 0 0
anthoni 0 0 1 2 2
antiaircraft 2 0 0 0 0
antibiot 0 0 0 0 1
antibiotico 0 0 0 4 0
antibodi 0 0 0 2 1
anticartel 0 0 0 1 0
anticip 6 11 6 12 40
anticompetit 1 0 0 4 0
anticopi 0 0 0 1 0
anticrisi 0 0 0 0 1
antidrought 0 1 0 0 0
antigreenmail 0 0 0 2 0
antiinfl 1 0 1 0 0
antil 0 0 0 3 0
antisept 0 0 0 1 0
antiship 9 0 0 0 0
antitakeov 0 0 0 4 0
antitrust 0 0 0 16 2
antiulc 0 0 0 0 2
antivir 0 0 0 1 0
antonio 1 0 0 6 2
antonson 0 0 0 3 0
antwerp 1 0 0 0 0
antwerphamburg 0 1 0 0 0
anw 0 0 0 1 0
anxieti 0 1 0 0 0
anxiou 1 0 2 0 1
anybodi 0 1 1 2 1
anymor 0 0 0 1 0
anyon 0 2 0 2 0
anyth 6 2 13 1 3
anytim 1 0 1 0 0
anyway 0 0 2 1 0
anywher 1 1 1 0 0
anz 0 0 1 0 0
aon 0 0 0 0 2
ap 2 0 0 0 0
apart 2 0 3 4 6
apartheid 1 0 0 0 0
apd 0 0 0 1 0
apea 10 0 0 0 0
apera 0 0 0 1 0
api 49 0 0 0 0
apirl 0 1 0 0 1
apollo 0 0 0 2 0
appar 8 3 12 14 1
apparatu 0 1 0 0 0
apparatur 0 0 0 1 0
apparel 0 0 0 3 8
appatur 0 0 0 1 0
appeal 7 7 3 28 4
appear 18 16 31 13 10
appeas 0 0 1 0 0
appel 0 0 0 1 0
appendix 0 1 0 0 0
appetit 0 0 1 0 0
appl 0 0 0 1 0
applaud 0 0 0 0 1
applaus 0 1 0 0 0
appleton 0 0 0 4 1
appli 7 20 9 19 15
applianc 0 0 0 10 0
applic 6 10 3 84 11
appoint 8 1 1 17 1
appointe 0 0 0 2 0
apprais 2 0 0 6 1
appreci 1 0 24 4 10
appris 0 0 0 1 0
approach 10 11 19 17 6
appropri 6 9 30 17 4
approv 17 48 14 382 134
approvc 0 0 0 1 0
approxim 3 5 0 28 20
apr 4 13 4 0 2
apreil 0 0 0 0 1
april 48 96 79 149 770
apriljun 0 1 1 0 0
aprilmay 0 1 0 0 0
aprilnov 0 1 0 0 0
apriloctob 0 1 0 0 0
aprjun 0 1 0 0 0
aprov 0 0 0 1 0
aproveitamento 0 0 0 1 0
apt 0 0 0 5 0
aptsat 0 0 0 1 0
aq 0 0 0 2 0
aqazadeh 7 0 0 0 0
aquino 0 0 0 5 0
aquir 0 0 0 4 0
aquitain 1 0 0 1 0
ara 0 0 0 0 1
arab 32 0 32 1 1
arabia 90 9 19 0 2
arabian 17 0 2 0 1
arabl 0 6 0 0 0
aramco 2 0 0 0 0
arap 1 0 0 0 0
arauca 1 0 0 0 0
arb 0 0 0 0 6
arbi 0 0 0 1 0
arbitr 0 0 0 6 4
arbitrag 0 0 2 41 2
arbitrageur 0 0 0 20 0
arbroath 1 0 0 0 0
arc 0 0 0 2 0
archer 0 5 0 0 0
archi 1 0 0 0 0
archipelago 0 1 0 0 0
architect 2 0 1 0 1
architectur 0 1 0 3 1
architecur 0 0 0 1 0
archriv 0 0 0 0 1
arco 2 0 0 7 6
arctic 3 0 0 1 0
arden 0 0 0 7 2
ardeshir 3 0 0 0 0
are 195 261 279 381 227
area 55 142 4 41 45
areia 1 0 0 0 0
arena 0 0 0 4 0
arent 1 1 0 0 0
arequipa 0 0 0 1 0
argentin 4 29 0 0 1
argentina 1 29 0 1 1
argentinabrazil 0 1 0 0 0
argo 0 0 0 0 2
argu 2 7 8 7 1
arguello 1 0 0 0 0
argument 1 2 4 3 0
argyl 0 0 0 6 1
ari 0 0 0 1 0
ariadn 0 0 0 11 0
arid 0 1 0 0 0
arifin 1 0 1 0 0
aris 2 0 1 3 8
arisen 0 0 1 2 1
arithmet 0 0 1 0 0
ariz 0 0 0 5 0
arizona 0 0 0 6 0
arizonabas 0 0 0 0 1
arkadi 0 0 0 3 0
arkansa 0 2 0 2 4
arlan 0 2 0 0 0
arland 0 1 0 0 0
arm 5 6 2 12 5
armand 0 0 0 0 1
armendariz 0 1 0 0 0
armi 5 4 0 1 0
armonk 0 0 0 2 0
armor 0 0 0 0 1
armour 0 0 0 1 0
armslength 0 0 0 1 0
armstrong 0 0 0 10 0
armtek 0 0 0 14 0
arnold 1 0 0 1 0
aros 0 0 0 1 2
around 57 49 233 48 53
arrang 5 5 27 57 12
array 0 0 1 1 0
arrear 0 0 7 0 0
arrest 0 0 0 1 0
arriv 14 11 1 1 0
arrowhead 0 0 0 1 0
arsen 0 0 0 10 1
art 0 0 0 5 4
arthur 3 0 0 4 4
articl 1 2 2 7 3
artifici 1 2 0 3 2
artilleri 2 0 0 0 0
artisan 0 0 0 0 1
artist 0 0 0 0 2
artra 0 0 0 0 1
artsrel 0 0 0 1 0
artsway 0 0 0 0 2
arturo 8 0 0 0 0
arundel 0 0 0 0 1
arusha 0 1 0 0 0
arvid 0 0 0 2 0
arvin 0 0 0 0 8
as 348 261 428 635 416
asa 0 2 1 0 1
asahi 1 0 0 1 0
asaltern 0 0 0 1 0
asamera 0 0 0 0 3
asbestec 0 0 0 2 2
asbesto 0 0 0 3 0
asc 0 19 0 0 0
asca 0 1 0 0 0
ascensao 0 2 0 0 0
ascertain 1 0 0 2 0
ascss 0 1 0 0 0
asea 0 0 0 1 5
asher 0 0 0 4 0
ashland 1 0 0 1 9
ashtont 0 0 0 0 1
asia 3 4 4 5 11
asian 6 2 9 9 1
asianpacif 0 0 2 0 0
asiapacif 2 1 2 0 0
asiat 0 0 0 0 1
asid 0 3 6 4 5
ask 48 49 78 78 32
aslambeck 0 0 0 2 0
aslamina 0 0 0 2 0
aspect 2 2 2 5 2
aspen 2 0 0 0 0
assam 2 0 0 0 0
assassin 0 0 0 1 0
assay 0 0 0 3 0
asscess 0 0 0 1 0
assembl 1 0 1 7 0
assert 1 0 1 4 0
assess 3 8 7 5 3
assest 0 0 0 1 0
asset 6 0 21 300 158
assett 0 0 0 0 1
assign 5 0 4 1 1
assist 18 16 114 10 1
assn 0 0 0 2 1
assoc 0 0 0 1 0
associ 27 64 22 136 82
associaiton 0 1 0 0 0
associationlticgsl 0 0 0 1 0
asssess 0 1 0 0 0
assset 0 0 0 1 1
asssoci 1 0 0 0 0
asst 0 0 2 0 0
assuanc 0 0 0 0 1
assum 8 3 3 22 17
assumpt 4 2 4 13 3
assur 3 4 1 17 8
asta 0 0 0 0 1
astec 0 0 0 0 1
astra 0 0 0 4 0
astral 0 0 0 1 0
astro 0 0 0 2 0
astrocom 0 0 0 0 1
astrom 0 0 0 0 1
astron 0 0 0 1 0
astrotech 0 0 0 4 0
at 452 457 757 842 551
atalantasosnoff 0 0 0 1 0
atchison 0 0 0 3 0
atco 0 0 0 0 5
atcor 0 0 0 0 7
athabasca 1 0 0 0 0
athen 11 0 0 2 0
athenslimeston 0 0 0 1 0
athlet 0 0 0 3 0
ati 0 0 0 0 1
atico 0 0 0 5 2
atla 0 0 0 2 0
atlant 5 0 0 20 17
atlanta 0 1 0 18 1
atlantabas 0 0 0 2 0
atlantia 0 0 0 1 0
atlantico 0 0 0 2 0
atle 0 0 0 1 0
atmospher 0 1 1 1 0
atomika 0 0 0 1 0
atorino 0 0 0 1 0
atp 0 0 0 0 1
atpc 0 2 0 0 0
atsushi 0 0 0 0 1
att 0 0 0 3 28
attach 4 1 2 2 1
attack 49 3 7 3 1
attain 2 2 0 1 4
attaka 1 0 0 0 0
attar 0 0 0 3 0
attempt 11 4 20 66 13
attend 7 1 12 2 2
attent 3 4 10 3 3
attilio 0 0 0 1 0
attitud 1 1 4 1 0
attleboro 0 0 0 2 0
attorney 0 0 0 8 2
attphilip 0 0 0 1 0
attract 8 9 9 25 3
attractiveboschwitz 0 1 0 0 0
attrib 0 0 0 0 1
attribut 2 3 10 2 41
aturo 2 0 0 0 0
atwel 0 0 0 2 0
aubrey 0 0 1 0 0
auction 0 0 53 3 0
audi 0 0 0 0 16
audienc 0 0 0 1 2
audio 0 0 0 2 3
audiovideo 0 0 0 23 0
audit 1 0 0 1 20
auditor 2 0 0 2 27
auergesellschaft 0 0 0 1 0
aug 0 0 0 0 6
augar 0 0 0 0 2
augat 0 0 0 0 1
augment 0 0 0 1 0
augsept 0 1 0 0 0
august 9 18 3 13 42
augusta 1 0 0 1 0
augustjuli 0 1 0 0 0
aulnays 0 0 0 0 1
ault 0 0 0 0 1
aura 0 0 0 0 1
aurora 0 0 0 3 0
ausimont 0 0 0 2 2
auspici 0 0 1 0 0
auster 6 0 0 0 0
austin 0 1 0 0 0
australasia 0 0 0 0 2
australasian 0 0 2 0 0
australia 13 30 0 44 20
australiabas 0 0 0 1 0
australian 15 29 18 16 21
australianbas 0 0 0 1 0
australianew 0 0 0 1 0
austria 0 2 2 3 3
austrian 0 0 1 1 1
author 4 41 51 56 58
authoris 0 4 4 5 6
authorit 1 0 0 0 0
authoritei 0 0 0 1 0
authorizerd 0 0 0 0 1
authroiz 0 0 0 0 1
auto 0 0 2 17 5
autobiographi 1 0 0 0 0
autoclav 0 0 0 0 1
autom 0 0 0 10 6
automak 0 0 0 4 2
automat 0 0 0 4 0
automatix 0 0 0 0 1
automedix 0 0 0 1 0
automobil 0 0 1 4 4
automot 0 0 0 7 16
automovil 0 0 0 0 1
autonom 0 0 3 1 0
autopart 0 0 0 3 0
autospa 0 0 0 4 0
autumn 2 3 5 0 1
autumnwint 0 1 0 0 0
auxiliair 0 0 1 0 0
avaiabl 0 1 0 0 0
avail 26 37 7 47 33
avait 0 0 0 1 0
avaj 2 0 0 0 0
avalanch 0 0 1 0 0
avalon 0 0 0 7 1
avana 0 0 0 15 1
avaq 0 0 0 4 0
avatar 0 0 0 0 1
avco 0 0 0 2 0
avenu 0 0 0 1 1
averag 72 48 62 31 40
averagedout 0 0 1 0 0
averi 0 0 0 0 10
avert 4 2 1 0 0
avg 0 4 0 0 663
avia 0 0 0 12 0
avial 0 0 0 0 1
aviat 1 0 0 34 9
avion 0 0 0 2 0
aviv 0 0 0 0 2
avoid 15 7 10 11 2
avon 0 0 0 11 3
aw 0 0 0 0 2
await 1 8 3 3 1
awar 3 1 5 13 2
award 7 24 0 2 9
awash 0 0 0 0 1
away 4 4 10 6 6
awb 0 22 0 0 0
awek 0 2 0 0 0
awf 0 5 0 0 0
ax 0 0 0 0 6
axe 0 0 0 0 1
axi 0 0 4 0 0
axp 0 0 0 1 0
ayal 1 0 0 0 0
ayala 2 0 0 0 0
ayer 0 0 0 2 0
aynalem 0 1 0 0 0
aziz 0 8 0 0 0
azor 0 1 0 0 0
aztec 0 0 0 0 1
azuma 0 0 0 2 0
azur 0 0 0 1 0
azusa 0 0 2 0 0
azzam 0 0 7 0 0
b 1 0 0 49 57
